

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201107_exp13_gfp_post_spike.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt



Plate Number	Plate 1
Date	11/7/2020
Time	7:09:40 AM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 34°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL10																							Well ID
B	SPL2	SPL11																							Well ID
C	SPL3	SPL12																							Well ID
D	SPL4	SPL13																							Well ID
E	SPL5	SPL14																							Well ID
F	SPL6	SPL15																							Well ID
G	SPL7	SPL16																							Well ID
H	SPL8	SPL17																							Well ID
I	SPL9	SPL18																							Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	I1	I2
2:00:00	34.0	4624	4392	143	143	3431	4046	4645	4104	50	39	3500	4098	7408	7165	2731	3102	490	471
2:03:00	34.0	4661	4425	147	133	3481	4001	4678	3995	38	37	3436	4110	7401	7032	2838	3069	488	470
2:06:00	34.0	4654	4402	150	147	3405	4024	4625	4041	41	36	3497	4013	7403	7337	2781	3095	492	465
2:09:00	34.0	4687	4359	143	138	3489	3963	4639	3971	39	44	3470	4112	7394	7249	2750	3096	498	463
2:12:00	34.0	4688	4369	150	145	3406	4017	4640	4010	58	34	3414	4047	7457	7195	2742	3098	494	456
2:15:00	34.0	4560	4385	142	140	3421	3945	4630	3977	47	37	3400	4079	7446	7231	2741	3084	492	463
2:18:00	34.0	4536	4342	149	141	3470	3866	4586	4118	39	40	3497	4067	7436	7200	2797	3116	498	464
2:21:00	34.0	4635	4399	151	144	3425	3953	4627	4036	46	43	3476	4129	7458	7169	2746	3083	498	458
2:24:00	34.0	4691	4453	148	146	3435	3872	4648	4084	44	40	3408	4055	7369	7276	2793	3106	477	460
2:27:00	34.0	4540	4315	153	145	3470	3982	4667	4057	40	41	3448	4074	7255	7176	2789	3041	480	456
2:30:00	34.0	4595	4309	161	147	3445	3970	4662	4026	40	38	3454	4129	7488	7284	2800	3122	487	461
2:33:00	34.0	4610	4358	147	147	3411	3945	4611	3947	44	36	3404	4070	7388	7223	2738	3120	493	458
2:36:00	34.0	4701	4397	148	144	3437	3970	4650	4003	45	38	3472	4102	7461	7229	2814	3141	483	469
2:39:00	34.0	4631	4331	161	139	3469	3934	4591	3986	36	36	3493	4118	7471	7178	2775	3053	485	461
2:42:00	34.0	4654	4395	150	149	3442	3934	4532	4013	38	37	3536	4044	7294	7276	2793	3091	484	464
2:45:00	34.0	4529	4391	151	154	3466	3922	4639	3998	42	38	3482	4084	7361	7201	2807	3149	490	463
2:48:00	34.0	4589	4376	151	156	3483	3964	4658	3957	46	44	3445	4061	7414	7278	2815	3121	486	458
2:51:00	34.0	4537	4430	152	149	3454	3998	4594	4055	44	38	3499	4013	7528	7227	2784	3148	480	463
2:54:00	34.0	4647	4393	144	151	3378	3983	4596	3975	49	37	3487	4129	7404	7283	2767	3136	482	455
2:57:00	34.0	4496	4312	154	152	3490	3930	4675	3928	43	40	3434	4091	7182	7208	2777	3125	484	470
3:00:00	34.0	4670	4402	158	150	3483	3924	4677	4021	50	37	3455	4063	7384	7163	2735	3126	493	467
3:03:00	34.0	4605	4301	160	151	3422	4021	4643	4027	49	47	3493	4079	7504	7213	2742	3103	502	472
3:06:00	34.0	4586	4331	158	144	3306	3902	4554	3960	46	39	3458	4061	7536	7103	2768	3102	487	468
3:09:00	34.0	4642	4371	157	149	3467	4003	4623	4049	47	40	3481	4085	7450	7099	2854	3136	480	466
3:12:00	34.0	4621	4431	152	153	3407	4051	4509	3992	51	32	3469	4115	7277	7177	2797	3072	494	456
3:15:00	34.0	4653	4359	152	145	3475	3964	4591	3984	47	39	3510	4087	7409	7228	2773	3126	485	470
