Software Version,3.04.17,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Biotek2\Box\biocircuits\Ankita\20201106_exp13_atp_spike.xpt,,,,,,,,,,,,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,,,,,,,,,,,,
Date,11/6/20,,,,,,,,,,,,,,,,,,,,,,,,
Time,6:23:32 PM,,,,,,,,,,,,,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,,,,,,,,,,,,,
Reader Serial Number:,271275,,,,,,,,,,,,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Plate Type,384 WELL PLATE,,,,,,,,,,,,,,,,,,,,,,,,
Well Selection,Runtime,,,,,,,,,,,,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,,,,,,,,,,,,
Set Temperature,Setpoint 34∞C,,,,,,,,,,,,,,,,,,,,,,,,
,Preheat before moving to next step,,,,,,,,,,,,,,,,,,,,,,,,
Start Kinetic,"Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads",,,,,,,,,,,,,,,,,,,,,,,,
    Read,gfp,,,,,,,,,,,,,,,,,,,,,,,,
,Fluorescence Endpoint,,,,,,,,,,,,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,,,,,,,,,,,,
0:54:00,34,572,549,25,31,453,486,638,528,41,45,341,403,1149,1091,603,592,19,38,,,,,,
0:57:00,34,599,615,24,24,489,527,719,549,43,44,375,439,1219,1201,638,644,24,43,,,,,,
1:00:00,34,660,649,23,20,543,576,759,600,42,37,414,472,1348,1267,683,697,20,38,,,,,,
1:03:00,34,694,698,26,22,577,606,804,656,35,37,440,503,1386,1356,716,732,23,43,,,,,,
1:06:00,34,751,742,20,28,622,666,893,696,31,32,478,572,1497,1411,758,785,18,40,,,,,,
1:09:00,34,797,782,20,28,640,702,940,756,34,35,503,569,1550,1476,796,833,32,49,,,,,,
1:12:00,34,856,828,27,22,700,753,1018,800,39,35,547,629,1648,1585,868,875,22,51,,,,,,
1:15:00,34,867,880,27,24,731,792,1063,835,24,21,567,657,1742,1660,907,921,23,52,,,,,,
1:18:00,34,931,890,26,29,775,857,1139,886,25,27,588,684,1806,1722,948,987,25,56,,,,,,
1:21:00,34,978,947,18,26,820,869,1215,934,24,31,622,716,1898,1781,1001,1018,25,61,,,,,,
1:24:00,34,1009,993,24,26,843,920,1269,978,25,29,646,778,1979,1907,1026,1065,27,58,,,,,,
1:27:00,34,1033,1021,29,31,887,972,1311,1038,19,28,672,797,2020,1991,1069,1113,21,68,,,,,,
1:30:00,34,1104,1086,31,29,931,990,1407,1091,37,21,686,805,2186,2064,1134,1132,26,73,,,,,,
1:33:00,34,1163,1130,32,33,996,1038,1448,1112,26,23,736,861,2171,2159,1158,1172,27,75,,,,,,
1:36:00,34,1191,1188,29,34,1001,1085,1498,1159,21,28,756,881,2297,2172,1194,1230,24,75,,,,,,
1:39:00,34,1267,1220,33,31,1062,1117,1539,1230,21,20,784,925,2341,2307,1223,1311,26,77,,,,,,
1:42:00,34,1301,1282,24,33,1099,1176,1580,1281,21,22,823,949,2435,2373,1265,1304,25,82,,,,,,
1:45:00,34,1342,1323,25,30,1150,1213,1652,1328,24,22,822,971,2474,2470,1291,1368,34,85,,,,,,
