Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,720,0.2,G1,7916,AFU,485,515,gfp61485515
gfp,61,720,0.2,G2,7516,AFU,485,515,gfp61485515
gfp,61,720,0.2,H1,2818,AFU,485,515,gfp61485515
gfp,61,720,0.2,H2,3131,AFU,485,515,gfp61485515
gfp,61,720,0.2,I1,533,AFU,485,515,gfp61485515
gfp,61,720,0.2,I2,510,AFU,485,515,gfp61485515
gfp,61,900,0.25,A1,4848,AFU,485,515,gfp61485515
gfp,61,900,0.25,A2,4595,AFU,485,515,gfp61485515
gfp,61,900,0.25,B1,138,AFU,485,515,gfp61485515
gfp,61,900,0.25,B2,144,AFU,485,515,gfp61485515
gfp,61,900,0.25,C1,3649,AFU,485,515,gfp61485515
gfp,61,900,0.25,C2,4130,AFU,485,515,gfp61485515
gfp,61,900,0.25,D1,4961,AFU,485,515,gfp61485515
gfp,61,900,0.25,D2,4293,AFU,485,515,gfp61485515
gfp,61,900,0.25,E1,50,AFU,485,515,gfp61485515
gfp,61,900,0.25,E2,47,AFU,485,515,gfp61485515
gfp,61,900,0.25,F1,3604,AFU,485,515,gfp61485515
gfp,61,900,0.25,F2,4134,AFU,485,515,gfp61485515
gfp,61,900,0.25,G1,7927,AFU,485,515,gfp61485515
gfp,61,900,0.25,G2,7477,AFU,485,515,gfp61485515
gfp,61,900,0.25,H1,2813,AFU,485,515,gfp61485515
gfp,61,900,0.25,H2,3110,AFU,485,515,gfp61485515
gfp,61,900,0.25,I1,524,AFU,485,515,gfp61485515
gfp,61,900,0.25,I2,509,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A1,4855,AFU,485,515,gfp61485515
gfp,61,1080,0.3,A2,4471,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B1,147,AFU,485,515,gfp61485515
gfp,61,1080,0.3,B2,145,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C1,3543,AFU,485,515,gfp61485515
gfp,61,1080,0.3,C2,4147,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D1,4965,AFU,485,515,gfp61485515
gfp,61,1080,0.3,D2,4347,AFU,485,515,gfp61485515
