

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201005_psigmax_plac_day1.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Miki.Yun\MY_ gfp_485_515_091117_ protocol.prt



Plate Number	Plate 1
Date	10/5/2020
Time	12:07:36 PM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 29°C
	Preheat before moving to next step
Start Kinetic	Runtime 14:00:00 (HH:MM:SS), Interval 0:03:00, 281 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7																		Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	A1	A2	A3	A4	A5	A6	A7
4:15:00	29.0	41	3601	2298	3672	4304	4451	4168
4:18:00	29.1	43	3630	2360	3691	4201	4526	4280
4:21:00	29.1	52	3691	2322	3748	4355	4455	4264
4:24:00	29.0	42	3701	2398	3765	4311	4516	4368
4:27:00	29.0	53	3711	2375	3859	4333	4647	4319
4:30:00	29.0	43	3759	2396	3791	4354	4591	4411
4:33:00	29.0	44	3815	2411	3856	4440	4642	4407
4:36:00	29.1	47	3871	2417	3847	4475	4646	4347
4:39:00	29.0	47	3910	2412	3898	4460	4753	4400
4:42:00	29.0	58	3906	2440	3836	4507	4619	4463
4:45:00	29.0	50	3967	2479	3935	4440	4770	4440
4:48:00	29.0	46	3937	2495	3868	4569	4803	4452
4:51:00	29.0	55	4044	2477	3974	4622	4786	4549
4:54:00	29.0	53	4074	2505	4001	4591	4873	4516
4:57:00	29.0	46	4122	2562	4037	4611	4803	4594
5:00:00	29.1	48	4122	2545	4013	4667	4861	4608
5:03:00	29.0	54	4156	2554	4046	4646	4907	4648
5:06:00	29.0	51	4165	2551	4110	4684	4881	4654
5:09:00	29.0	52	4280	2597	4087	4696	4883	4570
5:12:00	29.0	50	4305	2598	4069	4766	5015	4635
5:15:00	29.1	55	4314	2597	4109	4776	4966	4746
5:18:00	29.0	50	4228	2573	4113	4780	4960	4722
5:21:00	29.0	58	4312	2673	4149	4832	4976	4693
5:24:00	29.0	48	4370	2666	4181	4869	5103	4789
5:27:00	29.0	56	4371	2683	4191	4823	5090	4741
5:30:00	29.0	51	4457	2656	4223	4877	5090	4814
5:33:00	29.1	53	4466	2693	4179	4928	5040	4745
5:36:00	29.0	58	4415	2708	4119	4905	5158	4844
5:39:00	29.0	53	4442	2703	4306	4894	5065	4895
5:42:00	29.0	58	4418	2680	4311	5023	5198	4948
5:45:00	29.0	61	4579	2753	4319	4995	5166	4821
5:48:00	29.0	59	4604	2716	4269	4869	5259	4887
5:51:00	29.0	53	4661	2742	4286	5010	5183	5002
5:54:00	29.0	55	4598	2754	4331	5041	5148	4915
5:57:00	29.0	51	4613	2692	4343	5053	5265	4992
6:00:00	29.1	54	4627	2762	4387	4960	5169	4952
6:03:00	29.0	54	4589	2727	4348	5091	5204	5054
6:06:00	29.0	59	4725	2795	4385	5179	5304	5058
6:09:00	29.0	60	4720	2782	4377	5099	5213	5033
6:12:00	29.0	58	4796	2797	4430	5155	5343	5127
6:15:00	29.0	58	4830	2842	4384	5170	5406	4985
6:18:00	29.1	61	4759	2810	4439	5106	5310	5125
6:21:00	29.1	61	4800	2803	4371	5195	5392	5121
6:24:00	29.0	56	4712	2885	4409	5198	5373	5125
6:27:00	29.0	67	4729	2901	4477	5097	5298	5099
6:30:00	29.0	60	4772	2875	4437	5121	5400	5116
6:33:00	29.1	59	4831	2892	4464	5255	5353	5138
6:36:00	29.0	59	4846	2968	4492	5161	5369	5128
6:39:00	29.0	67	4901	2836	4447	5178	5446	5169
6:42:00	29.0	66	4988	2893	4578	5269	5325	5121
6:45:00	29.0	63	5012	2926	4634	5313	5402	5165
6:48:00	29.1	68	4949	2864	4512	5216	5425	5183
6:51:00	29.0	64	5050	2930	4494	5178	5404	5152
6:54:00	29.0	64	5106	2928	4611	5285	5443	5149
6:57:00	29.0	62	5033	2920	4529	5302	5476	5183
7:00:00	29.0	73	4991	2853	4583	5300	5478	5132
7:03:00	29.0	63	5029	2892	4555	5352	5367	5173
7:06:00	29.0	63	5132	2938	4525	5370	5483	5275
7:09:00	29.1	68	5073	2895	4656	5344	5392	5215
7:12:00	29.0	86	5052	2973	4596	5298	5564	5263
7:15:00	29.1	77	5134	2930	4682	5332	5412	5277
7:18:00	29.0	65	5132	2953	4676	5399	5475	5180
7:21:00	29.0	63	5207	2974	4608	5405	5619	5177
7:24:00	29.0	67	5109	2925	4718	5356	5606	5225
7:27:00	29.0	73	5166	2923	4655	5360	5596	5291
7:30:00	29.0	66	5286	2893	4687	5491	5596	5239
7:33:00	29.0	68	5209	2938	4682	5394	5617	5251
7:36:00	29.0	71	5206	2997	4794	5400	5636	5290
7:39:00	29.0	69	5245	2990	4800	5454	5691	5180
7:42:00	29.0	59	5253	3009	4663	5524	5588	5230
7:45:00	29.0	75	5231	3021	4660	5400	5551	5238
7:48:00	29.0	77	5429	3001	4676	5419	5657	5373
7:51:00	29.0	68	5302	3011	4721	5391	5630	5233
7:54:00	29.1	79	5316	2938	4702	5486	5672	5257
7:57:00	29.1	71	5311	3029	4762	5367	5626	5237
8:00:00	29.1	71	5302	3037	4736	5459	5653	5167
8:03:00	29.1	77	5306	3073	4770	5542	5671	5199
8:06:00	29.1	73	5377	3042	4770	5477	5541	5409
8:09:00	29.1	70	5365	3021	4714	5490	5665	5401
8:12:00	29.1	76	5367	2999	4782	5588	5637	5214
8:15:00	29.1	73	5292	3066	4751	5480	5579	5331
8:18:00	29.1	76	5420	3052	4776	5612	5533	5380
8:21:00	29.1	79	5482	3062	4812	5565	5696	5366
8:24:00	29.0	85	5440	3035	4810	5515	5502	5358
8:27:00	29.1	75	5405	3069	4712	5451	5701	5359
8:30:00	29.1	76	5417	3033	4731	5575	5666	5292
8:33:00	29.1	93	5420	3065	4747	5574	5602	5355
8:36:00	29.1	82	5466	3023	4837	5478	5629	5391
8:39:00	29.1	74	5487	3046	4871	5591	5718	5413
8:42:00	29.1	79	5443	3066	4822	5509	5757	5325
8:45:00	29.1	74	5541	3119	4805	5538	5697	5303
8:48:00	29.1	76	5496	3042	4795	5564	5734	5311
8:51:00	29.1	75	5525	3008	4874	5563	5643	5345
8:54:00	29.1	85	5614	3084	4818	5512	5673	5484
8:57:00	29.1	84	5545	3107	4887	5507	5610	5411
9:00:00	29.1	74	5489	3096	4875	5489	5696	5310
9:03:00	29.1	72	5520	3094	4836	5611	5707	5332
9:06:00	29.1	85	5509	2983	4841	5585	5756	5414
9:09:00	29.1	85	5698	3026	4889	5566	5706	5327
9:12:00	29.1	81	5542	3020	4766	5576	5698	5432
9:15:00	29.1	79	5619	3106	4894	5601	5773	5447
9:18:00	29.1	70	5588	3037	4775	5500	5737	5345
9:21:00	29.1	81	5609	3044	4912	5428	5674	5337
9:24:00	29.1	86	5630	3065	4878	5568	5781	5322
9:27:00	29.1	82	5702	3142	4920	5481	5684	5361
9:30:00	29.1	75	5734	3077	4835	5700	5635	5435
9:33:00	29.0	77	5564	3054	4926	5537	5861	5320
9:36:00	29.0	81	5685	3093	4810	5654	5699	5454
9:39:00	29.0	80	5759	3113	4896	5532	5734	5378
9:42:00	29.0	87	5672	3099	4853	5474	5850	5416
9:45:00	29.0	84	5745	3063	4905	5622	5680	5365
9:48:00	29.0	86	5668	3161	4893	5500	5799	5456
9:51:00	29.0	86	5707	3096	4897	5629	5799	5369
9:54:00	29.0	90	5778	3137	4987	5669	5848	5490
9:57:00	29.0	88	5882	3099	4825	5509	5799	5407
10:00:00	29.0	83	5771	3106	4935	5728	5796	5460
10:03:00	29.0	86	5785	3074	4978	5641	5777	5381
10:06:00	29.0	93	5791	3175	4986	5627	5831	5415
10:09:00	29.0	86	5837	3137	4888	5733	5862	5377
10:12:00	29.1	91	5807	3147	4898	5591	5869	5350
10:15:00	29.0	92	5893	3153	4927	5605	5769	5377
10:18:00	29.1	85	5769	3183	4927	5665	5831	5446
10:21:00	29.0	87	5838	3139	4894	5604	5885	5412
10:24:00	29.0	88	5862	3161	4949	5651	5784	5400
10:27:00	29.0	85	5903	3112	4835	5552	5744	5387
10:30:00	29.0	85	5895	3149	4853	5700	5908	5460
10:33:00	29.0	87	5767	3173	4873	5632	5849	5363
10:36:00	29.0	102	5896	3158	4916	5687	5825	5379
10:39:00	29.0	88	5872	3183	4892	5757	5801	5377
10:42:00	29.0	91	5998	3225	4936	5713	5885	5428
10:45:00	29.0	91	5906	3197	4910	5679	5831	5401
10:48:00	29.1	94	5819	3133	4973	5635	5909	5449
10:51:00	29.0	87	5902	3206	4923	5737	5978	5489
10:54:00	29.0	90	5916	3178	5010	5610	5842	5433
10:57:00	29.0	95	6026	3175	4998	5644	5891	5437
11:00:00	29.0	96	5958	3097	4910	5718	5882	5371
11:03:00	29.0	91	6069	3204	4952	5706	5863	5422
11:06:00	29.0	99	6020	3238	4870	5717	5956	5543
11:09:00	29.0	96	5997	3162	4957	5744	5812	5503
11:12:00	29.0	92	6066	3210	4964	5727	5854	5490
11:15:00	29.0	92	6020	3199	4936	5703	5870	5512
11:18:00	29.0	101	5996	3248	4964	5759	5898	5360
11:21:00	29.0	93	6087	3214	4883	5702	5933	5460
11:24:00	29.0	96	5998	3215	5026	5649	5936	5530
11:27:00	29.0	98	6053	3187	4996	5713	5848	5458
11:30:00	29.0	94	6037	3214	5070	5714	5796	5480
11:33:00	29.0	94	6074	3187	5064	5726	5956	5458
11:36:00	29.0	96	6082	3232	5042	5629	5896	5431
11:39:00	29.0	101	6180	3193	5008	5658	5937	5495
11:42:00	29.0	94	6020	3211	5040	5662	5872	5502
11:45:00	29.0	95	5979	3222	5090	5700	5826	5427
11:48:00	29.0	102	6163	3242	4928	5766	5846	5465
11:51:00	29.0	95	6101	3202	4919	5717	5812	5441
11:54:00	29.0	96	6066	3266	5079	5663	5852	5360
11:57:00	29.0	97	6196	3217	4974	5722	5923	5524
12:00:00	29.0	105	6079	3251	5010	5720	5900	5485
12:03:00	29.0	89	6141	3247	5080	5689	5967	5505
12:06:00	29.1	103	6185	3254	5056	5767	5976	5532
12:09:00	29.0	93	6194	3258	4982	5651	5954	5453
12:12:00	29.0	95	6124	3215	4956	5723	5945	5426
12:15:00	29.0	90	6301	3255	5018	5826	5872	5447
12:18:00	29.0	101	6148	3253	5078	5685	6002	5537
12:21:00	29.0	97	6209	3221	5006	5771	5934	5463
12:24:00	29.0	97	6267	3281	5126	5696	5889	5575
12:27:00	29.0	105	6124	3183	5030	5673	5788	5411
12:30:00	29.0	101	6247	3199	5044	5724	6000	5390
12:33:00	29.0	97	6186	3302	5024	5721	5897	5461
12:36:00	29.0	108	6278	3266	5023	5649	5991	5366
12:39:00	29.0	101	6194	3272	5047	5801	5960	5453
12:42:00	29.0	106	6239	3290	4946	5733	5872	5491
12:45:00	29.0	104	6291	3211	4968	5712	5820	5459
12:48:00	29.0	99	6225	3206	4976	5760	5830	5482
12:51:00	29.0	104	6195	3249	5047	5729	5848	5488
12:54:00	29.0	103	6126	3243	5006	5699	5945	5451
12:57:00	29.0	107	6176	3269	4977	5677	5976	5457
13:00:00	29.0	113	6213	3292	5014	5722	5937	5519
13:03:00	29.0	117	6141	3255	5083	5692	6019	5564
13:06:00	29.0	100	6188	3241	5105	5772	5935	5517
13:09:00	29.0	102	6182	3255	5086	5703	5822	5428
13:12:00	29.0	109	6188	3218	5088	5707	5875	5499
13:15:00	29.0	113	6195	3263	4976	5770	5955	5517
13:18:00	29.0	106	6222	3223	5072	5652	5821	5484
13:21:00	29.0	111	6217	3252	5092	5731	5814	5426
13:24:00	29.0	110	6197	3302	5079	5735	5893	5464
13:27:00	29.0	104	6330	3268	5062	5768	5824	5449
13:30:00	29.0	109	6309	3281	5093	5657	5915	5471
13:33:00	29.0	108	6276	3233	5105	5768	5894	5551
13:36:00	29.0	107	6226	3280	5019	5652	5932	5409
13:39:00	29.1	110	6277	3298	5017	5675	5965	5562
13:42:00	29.1	103	6254	3189	5071	5700	5976	5484
13:45:00	29.1	105	6332	3314	5063	5742	6002	5472
13:48:00	29.1	112	6208	3234	5067	5742	5960	5520
13:51:00	29.1	108	6255	3273	5140	5727	5987	5411
13:54:00	29.1	113	6310	3279	5141	5693	5889	5479
13:57:00	29.1	106	6270	3252	5173	5783	5855	5527
14:00:00	29.1	109	6268	3212	5164	5729	5879	5512

gfp:485,515[2]

Time	T° gfp:485,515[2]	A1	A2	A3	A4	A5	A6	A7
0:00:05	29.0	1575	2650	1671	1658	1584	1902	1503
0:03:05	29.1	939	2159	917	1143	1063	1445	1097
0:06:05	29.1	764	2625	929	1086	1263	1462	1193
0:09:05	29.1	941	3364	1162	1474	1758	1989	1616
0:12:05	29.0	1047	4526	1392	1905	2117	2921	2308
0:15:05	29.0	1065	5442	1600	2440	2878	3839	3325
0:18:05	29.0	1032	6470	1792	3022	3695	5440	4356
0:21:05	29.1	1014	7581	2014	3959	4614	7532	6083
0:24:05	29.0	1027	8703	2334	4680	6024	9577	7625
0:27:05	29.1	937	9938	2809	5739	7522	12196	9784
0:30:05	29.0	990	11117	3121	6892	8968	15324	12274
