Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,360,0.1,G7,3905,AFU,485,515,gfp61485515
gfp,61,360,0.1,G8,3753,AFU,485,515,gfp61485515
gfp,61,360,0.1,H1,3660,AFU,485,515,gfp61485515
gfp,61,360,0.1,H2,3589,AFU,485,515,gfp61485515
gfp,61,360,0.1,H3,2958,AFU,485,515,gfp61485515
gfp,61,360,0.1,H4,3861,AFU,485,515,gfp61485515
gfp,61,360,0.1,H5,5007,AFU,485,515,gfp61485515
gfp,61,360,0.1,H6,4248,AFU,485,515,gfp61485515
gfp,61,360,0.1,H7,4458,AFU,485,515,gfp61485515
gfp,61,360,0.1,H8,4390,AFU,485,515,gfp61485515
gfp,61,540,0.15,E1,6823,AFU,485,515,gfp61485515
gfp,61,540,0.15,E2,2507,AFU,485,515,gfp61485515
gfp,61,540,0.15,E3,61,AFU,485,515,gfp61485515
gfp,61,540,0.15,E4,65,AFU,485,515,gfp61485515
gfp,61,540,0.15,E5,2527,AFU,485,515,gfp61485515
gfp,61,540,0.15,E6,3297,AFU,485,515,gfp61485515
gfp,61,540,0.15,E7,2318,AFU,485,515,gfp61485515
gfp,61,540,0.15,F1,36,AFU,485,515,gfp61485515
gfp,61,540,0.15,F2,3257,AFU,485,515,gfp61485515
gfp,61,540,0.15,F3,4765,AFU,485,515,gfp61485515
gfp,61,540,0.15,F4,3054,AFU,485,515,gfp61485515
gfp,61,540,0.15,F5,2686,AFU,485,515,gfp61485515
gfp,61,540,0.15,F6,2082,AFU,485,515,gfp61485515
gfp,61,540,0.15,F7,2589,AFU,485,515,gfp61485515
gfp,61,540,0.15,F8,2828,AFU,485,515,gfp61485515
gfp,61,540,0.15,G1,4277,AFU,485,515,gfp61485515
gfp,61,540,0.15,G2,4391,AFU,485,515,gfp61485515
gfp,61,540,0.15,G3,79,AFU,485,515,gfp61485515
gfp,61,540,0.15,G4,75,AFU,485,515,gfp61485515
gfp,61,540,0.15,G5,4401,AFU,485,515,gfp61485515
gfp,61,540,0.15,G6,3709,AFU,485,515,gfp61485515
gfp,61,540,0.15,G7,3741,AFU,485,515,gfp61485515
gfp,61,540,0.15,G8,3691,AFU,485,515,gfp61485515
gfp,61,540,0.15,H1,3571,AFU,485,515,gfp61485515
gfp,61,540,0.15,H2,3459,AFU,485,515,gfp61485515
gfp,61,540,0.15,H3,2837,AFU,485,515,gfp61485515
gfp,61,540,0.15,H4,3702,AFU,485,515,gfp61485515
gfp,61,540,0.15,H5,4903,AFU,485,515,gfp61485515
gfp,61,540,0.15,H6,4173,AFU,485,515,gfp61485515
gfp,61,540,0.15,H7,4378,AFU,485,515,gfp61485515
gfp,61,540,0.15,H8,4367,AFU,485,515,gfp61485515
gfp,61,720,0.2,E1,6709,AFU,485,515,gfp61485515
gfp,61,720,0.2,E2,2474,AFU,485,515,gfp61485515
gfp,61,720,0.2,E3,56,AFU,485,515,gfp61485515
gfp,61,720,0.2,E4,55,AFU,485,515,gfp61485515
gfp,61,720,0.2,E5,2509,AFU,485,515,gfp61485515
gfp,61,720,0.2,E6,3187,AFU,485,515,gfp61485515
gfp,61,720,0.2,E7,2265,AFU,485,515,gfp61485515
gfp,61,720,0.2,F1,26,AFU,485,515,gfp61485515
gfp,61,720,0.2,F2,3228,AFU,485,515,gfp61485515
gfp,61,720,0.2,F3,4677,AFU,485,515,gfp61485515
gfp,61,720,0.2,F4,2969,AFU,485,515,gfp61485515
gfp,61,720,0.2,F5,2594,AFU,485,515,gfp61485515
gfp,61,720,0.2,F6,2059,AFU,485,515,gfp61485515
gfp,61,720,0.2,F7,2484,AFU,485,515,gfp61485515
gfp,61,720,0.2,F8,2768,AFU,485,515,gfp61485515
gfp,61,720,0.2,G1,4175,AFU,485,515,gfp61485515
gfp,61,720,0.2,G2,4290,AFU,485,515,gfp61485515
gfp,61,720,0.2,G3,71,AFU,485,515,gfp61485515
gfp,61,720,0.2,G4,71,AFU,485,515,gfp61485515
gfp,61,720,0.2,G5,4265,AFU,485,515,gfp61485515
gfp,61,720,0.2,G6,3570,AFU,485,515,gfp61485515
gfp,61,720,0.2,G7,3653,AFU,485,515,gfp61485515
gfp,61,720,0.2,G8,3727,AFU,485,515,gfp61485515
gfp,61,720,0.2,H1,3479,AFU,485,515,gfp61485515
gfp,61,720,0.2,H2,3446,AFU,485,515,gfp61485515
gfp,61,720,0.2,H3,2856,AFU,485,515,gfp61485515
gfp,61,720,0.2,H4,3637,AFU,485,515,gfp61485515
gfp,61,720,0.2,H5,4751,AFU,485,515,gfp61485515
gfp,61,720,0.2,H6,4104,AFU,485,515,gfp61485515
gfp,61,720,0.2,H7,4250,AFU,485,515,gfp61485515
gfp,61,720,0.2,H8,4181,AFU,485,515,gfp61485515
gfp,61,900,0.25,E1,6535,AFU,485,515,gfp61485515
gfp,61,900,0.25,E2,2395,AFU,485,515,gfp61485515
gfp,61,900,0.25,E3,53,AFU,485,515,gfp61485515
gfp,61,900,0.25,E4,47,AFU,485,515,gfp61485515
gfp,61,900,0.25,E5,2450,AFU,485,515,gfp61485515
gfp,61,900,0.25,E6,3140,AFU,485,515,gfp61485515
gfp,61,900,0.25,E7,2261,AFU,485,515,gfp61485515
gfp,61,900,0.25,F1,30,AFU,485,515,gfp61485515
gfp,61,900,0.25,F2,3198,AFU,485,515,gfp61485515
gfp,61,900,0.25,F3,4606,AFU,485,515,gfp61485515
gfp,61,900,0.25,F4,3001,AFU,485,515,gfp61485515
gfp,61,900,0.25,F5,2600,AFU,485,515,gfp61485515
gfp,61,900,0.25,F6,2021,AFU,485,515,gfp61485515
gfp,61,900,0.25,F7,2502,AFU,485,515,gfp61485515
gfp,61,900,0.25,F8,2702,AFU,485,515,gfp61485515
gfp,61,900,0.25,G1,4160,AFU,485,515,gfp61485515
gfp,61,900,0.25,G2,4222,AFU,485,515,gfp61485515
