Software Version	3.04.17																								
																									
																									
																									
Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201105_gfp_miscinbeg.xpt																								
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt																								
																									
																									
																									
Plate Number	Plate 1																								
Date	11/5/20																								
Time	5:53:13 PM																								
Reader Type:	Synergy H1																								
Reader Serial Number:	271275																								
Reading Type	Reader																								
																									
Procedure Details																									
																									
Plate Type	384 WELL PLATE																								
Well Selection	Runtime																								
Eject plate on completion																									
Set Temperature	Setpoint 34°C																								
	Preheat before moving to next step																								
Start Kinetic	"Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads"																								
    Read	gfp																								
	Fluorescence Endpoint																								
	Full Plate																								
2:24:00	34	297	632	36	35	648	1169	1107	1124	20	23	260	247	1415	1346	1313	1188	35	28						
2:27:00	34	291	639	44	34	684	1208	1179	1152	22	22	265	257	1473	1387	1344	1218	32	29						
2:30:00	34	285	654	48	37	709	1222	1197	1187	22	28	275	268	1523	1438	1383	1245	35	22						
2:33:00	34	319	685	43	36	724	1255	1219	1250	14	20	285	269	1568	1468	1399	1274	28	25						
2:36:00	33.9	330	709	43	44	756	1290	1281	1268	29	22	300	273	1616	1501	1454	1291	31	34						
2:39:00	34	339	742	47	37	790	1343	1310	1297	24	19	298	285	1641	1546	1443	1313	37	24						
2:42:00	34	340	725	39	37	781	1355	1358	1361	23	15	304	287	1696	1599	1482	1368	34	27						
2:45:00	34	358	756	49	42	807	1382	1399	1369	15	18	295	290	1726	1646	1560	1376	29	32						
2:48:00	34	372	795	45	46	832	1416	1416	1416	16	17	315	301	1749	1680	1552	1387	39	29						
2:51:00	34	372	819	40	41	826	1460	1452	1425	17	26	316	307	1835	1736	1527	1420	38	34						
2:54:00	34	385	839	50	37	853	1465	1478	1483	14	16	318	315	1865	1770	1583	1440	39	30						
2:57:00	34	393	834	46	33	874	1478	1521	1476	16	18	339	309	1867	1789	1625	1485	40	30						
3:00:00	34	406	858	54	33	867	1516	1556	1536	18	17	346	314	1918	1834	1642	1508	36	33						
3:03:00	34.1	404	878	45	31	906	1574	1561	1589	10	16	347	341	1943	1872	1692	1530	36	33						
3:06:00	34	414	873	46	41	889	1573	1623	1587	17	22	341	342	2044	1868	1680	1533	34	30						
3:09:00	34	431	910	39	37	939	1619	1662	1619	19	22	365	336	2036	1963	1745	1543	35	34						
3:12:00	34	443	940	45	41	951	1603	1652	1669	21	10	377	346	2056	2006	1772	1591	41	38						
3:15:00	34	437	965	49	44	967	1642	1702	1703	25	17	384	362	2140	2020	1790	1603	38	35						
3:18:00	34	452	966	57	54	977	1673	1744	1687	17	14	372	366	2126	2037	1775	1608	38	32						
3:21:00	34	458	980	43	43	988	1723	1745	1736	25	18	381	372	2212	2070	1810	1658	42	34						
3:24:00	34	486	998	49	54	990	1740	1767	1793	19	19	397	385	2235	2138	1822	1649	38	33						
3:27:00	34	481	1046	52	46	1030	1781	1795	1763	22	14	406	387	2252	2139	1847	1680	38	40						
3:30:00	34	470	1040	54	38	1035	1800	1834	1838	18	18	409	376	2260	2200	1852	1695	43	30						
3:33:00	34	486	1016	51	42	1042	1797	1854	1869	20	19	403	394	2307	2186	1926	1676	52	36						
3:36:00	34	501	1069	56	42	1052	1808	1871	1874	16	17	409	408	2383	2246	1932	1746	45	42						
3:39:00	34	508	1070	53	35	1048	1857	1920	1888	20	11	419	417	2408	2259	1945	1744	44	38						
3:42:00	34	524	1116	55	50	1081	1885	1946	1951	24	22	416	439	2441	2328	1947	1727	41	36						
3:45:00	34	535	1127	50	47	1089	1875	1959	1967	18	19	435	421	2418	2336	2008	1765	46	37						
3:48:00	34	549	1127	50	45	1080	1912	1983	1938	18	22	438	440	2468	2332	1976	1798	50	42						
3:51:00	34	533	1124	58	49	1123	1982	2001	2018	18	22	444	429	2540	2375	1995	1750	43	37						
3:54:00	34	543	1137	59	48	1126	1962	1954	1983	18	16	433	436	2519	2389	2035	1819	45	40						
3:57:00	34	549	1185	58	41	1127	1935	2048	2032	12	25	442	446	2539	2391	2060	1808	43	40						
4:00:00	34	561	1185	55	41	1167	2036	2039	2049	10	24	459	455	2566	2446	2069	1837	44	48						
4:03:00	34	561	1194	45	50	1139	2038	2079	2073	18	18	446	459	2607	2504	2085	1841	44	41						
4:06:00	34	563	1186	52	50	1154	2060	2069	2073	17	19	461	464	2622	2489	2091	1835	45	43						
4:09:00	34	579	1205	53	49	1178	2015	2126	2126	19	22	468	467	2650	2519	2118	1863	45	33						
4:12:00	34	579	1226	59	51	1188	2104	2115	2142	23	20	480	469	2704	2499	2107	1874	51	38						
4:15:00	34	595	1228	58	44	1207	2079	2119	2161	19	20	479	480	2690	2524	2120	1902	52	42						
4:18:00	34	587	1239	63	50	1209	2109	2141	2193	11	15	487	496	2728	2574	2159	1903	47	49						
4:21:00	34.1	609	1260	58	48	1245	2134	2164	2210	17	20	483	502	2736	2540	2173	1954	49	45						
4:24:00	34	598	1295	61	54	1218	2148	2202	2230	14	14	502	502	2784	2594	2184	1942	42	41						
4:27:00	34	608	1257	57	52	1259	2136	2212	2223	18	18	505	501	2844	2647	2181	1910	48	39						
4:30:00	34	621	1304	57	54	1195	2185	2236	2226	18	21	509	517	2785	2629	2201	1971	50	43						
4:33:00	34	621	1309	61	42	1267	2212	2259	2232	28	20	498	511	2846	2684	2194	1952	55	41						
4:36:00	34	623	1330	65	50	1247	2202	2220	2270	19	15	514	524	2876	2732	2205	1994	56	47						
4:39:00	34	626	1342	62	52	1284	2194	2232	2293	16	27	514	526	2897	2751	2195	1976	54	49						
4:42:00	34	652	1332	62	58	1273	2256	2269	2289	17	23	518	543	2929	2757	2255	1959	54	50						
4:45:00	34	639	1327	61	60	1282	2241	2281	2329	19	17	518	543	2962	2773	2267	1995	51	52						
4:48:00	34	661	1354	54	60	1288	2265	2287	2306	20	15	515	547	2975	2761	2235	1983	52	42						
4:51:00	34	648	1369	58	54	1312	2293	2282	2331	17	16	534	544	2993	2844	2270	2044	54	48						
4:54:00	34	655	1407	75	49	1304	2265	2359	2290	24	18	549	560	3033	2792	2289	2023	59	36						
4:57:00	34	647	1401	60	57	1321	2306	2331	2340	22	19	558	564	3031	2905	2266	2077	57	44						
5:00:00	34	662	1402	60	62	1330	2353	2362	2369	28	22	538	570	2995	2852	2282	2046	45	47						
5:03:00	34	667	1414	66	51	1325	2341	2365	2364	24	22	547	587	3045	2930	2253	2076	51	51						
5:06:00	34	671	1454	64	55	1315	2362	2375	2425	20	22	545	576	3055	2920	2296	2093	55	42						
5:09:00	34	679	1428	61	58	1337	2321	2341	2385	20	19	557	582	3076	2901	2289	2090	52	48						
5:12:00	34	670	1445	61	54	1316	2339	2441	2420	14	20	562	583	3078	2909	2375	2061	56	49						
5:15:00	34	679	1427	63	56	1321	2318	2422	2429	23	22	557	589	3133	2955	2372	2080	46	39						
5:18:00	34	682	1476	64	64	1355	2396	2385	2479	18	24	577	595	3181	2949	2360	2111	56	48						
5:21:00	34	689	1434	70	59	1328	2363	2349	2448	27	25	577	601	3107	2998	2371	2114	52	49						
5:24:00	34	702	1488	73	55	1360	2390	2429	2490	13	22	574	602	3203	3017	2381	2147	62	55						
5:27:00	34	692	1472	72	57	1387	2404	2447	2450	19	21	567	604	3145	2973	2365	2139	61	51						
5:30:00	34	708	1483	71	67	1380	2370	2415	2476	25	17	576	609	3206	3011	2366	2138	60	44						
5:33:00	34	695	1481	60	60	1363	2456	2468	2467	18	24	576	607	3219	3094	2372	2116	58	44						
5:36:00	34	705	1477	69	65	1373	2445	2402	2469	14	15	575	625	3153	3063	2383	2167	61	45						
5:39:00	34	705	1501	58	60	1371	2426	2452	2493	21	20	595	616	3261	3070	2392	2141	58	55						
5:42:00	34	725	1525	73	64	1407	2429	2482	2478	29	16	595	634	3227	3075	2397	2133	57	40						
5:45:00	34	715	1510	75	69	1422	2458	2538	2455	23	23	585	628	3259	3097	2394	2183	58	49						
5:48:00	34.1	754	1506	75	62	1402	2523	2492	2547	21	16	623	642	3285	3139	2396	2185	56	51						
5:51:00	34	725	1542	73	63	1406	2472	2532	2517	24	26	602	648	3264	3124	2423	2142	62	53						
5:54:00	34	727	1558	75	67	1443	2447	2511	2520	20	19	596	664	3326	3060	2435	2177	64	54						
5:57:00	34	718	1516	73	55	1397	2444	2484	2562	18	15	623	639	3273	3160	2469	2209	62	49						
6:00:00	34	743	1567	73	67	1434	2542	2530	2571	28	17	610	652	3361	3205	2478	2192	61	55						
6:03:00	34	737	1544	74	65	1405	2502	2562	2565	20	20	608	654	3385	3137	2459	2194	57	51						
6:06:00	34	747	1551	82	66	1460	2533	2500	2562	16	17	613	669	3358	3196	2484	2212	63	52						
6:09:00	34	761	1596	77	67	1462	2523	2543	2557	19	26	620	673	3448	3171	2453	2184	57	54						
6:12:00	34	723	1606	74	64	1443	2495	2532	2572	14	20	623	645	3332	3211	2460	2164	58	53						
6:15:00	34	756	1602	84	68	1467	2483	2606	2590	13	20	626	670	3393	3197	2443	2210	74	56						
6:18:00	34	758	1538	74	59	1462	2564	2521	2521	20	15	629	675	3456	3257	2494	2238	60	49						
6:21:00	34	751	1575	76	67	1475	2532	2589	2583	24	20	653	666	3470	3287	2453	2270	70	57						
6:24:00	34	760	1618	75	68	1444	2533	2628	2582	15	23	634	689	3417	3248	2504	2262	66	51						
6:27:00	34	756	1613	76	68	1480	2553	2584	2606	20	11	632	676	3409	3296	2465	2220	52	52						
6:30:00	34	752	1599	85	66	1441	2551	2581	2609	16	24	634	682	3448	3294	2497	2247	67	57						
6:33:00	34	764	1587	83	71	1483	2544	2622	2641	16	16	656	701	3464	3291	2520	2215	70	60						
6:36:00	34	787	1611	89	64	1520	2538	2606	2613	19	24	649	689	3495	3282	2520	2277	63	58						
6:39:00	34	759	1654	83	69	1486	2503	2639	2600	26	27	655	701	3527	3335	2549	2234	58	61						
6:42:00	34	756	1600	81	64	1506	2531	2621	2597	25	20	648	673	3522	3362	2540	2268	64	57						
6:45:00	34	776	1680	77	67	1484	2549	2660	2625	17	25	645	692	3501	3367	2512	2282	63	59						
6:48:00	34	784	1628	79	74	1517	2538	2617	2604	22	19	669	697	3512	3388	2559	2279	62	63						
6:51:00	34	768	1636	90	81	1526	2595	2648	2649	26	20	668	701	3541	3345	2504	2298	73	56						
6:54:00	34	789	1641	87	67	1490	2553	2593	2589	16	14	664	719	3608	3322	2567	2293	58	54						
6:57:00	34	806	1660	80	79	1505	2583	2667	2636	20	22	653	712	3556	3389	2504	2276	65	57						
7:00:00	34	793	1632	76	76	1522	2666	2621	2715	17	29	651	723	3552	3398	2570	2311	63	61						
7:03:00	34	778	1684	84	71	1529	2581	2690	2656	13	19	675	715	3588	3425	2568	2299	59	61						
7:06:00	34	800	1672	88	68	1506	2623	2652	2666	17	30	659	715	3611	3453	2523	2314	68	61						
7:09:00	34	796	1688	95	70	1529	2653	2634	2653	25	14	668	729	3624	3433	2554	2316	66	57						
7:12:00	34	799	1653	81	75	1519	2562	2656	2682	26	18	679	706	3661	3433	2580	2341	68	57						
7:15:00	34	823	1719	90	73	1519	2665	2703	2711	25	16	660	716	3679	3451	2542	2330	77	58						
7:18:00	34	827	1687	84	74	1553	2605	2715	2675	26	23	669	732	3684	3400	2585	2339	70	60						
7:21:00	34	791	1682	88	79	1518	2675	2677	2663	11	24	692	731	3695	3446	2622	2318	71	59						
7:24:00	34	786	1654	87	73	1538	2674	2700	2752	22	24	673	748	3673	3452	2600	2340	70	57						
7:27:00	34	813	1717	88	76	1536	2676	2638	2680	26	18	687	719	3689	3415	2552	2381	68	64						
7:30:00	34	821	1702	84	74	1495	2644	2742	2730	19	20	683	726	3644	3517	2575	2331	69	57						
7:33:00	34	801	1721	82	75	1518	2652	2682	2717	25	27	684	741	3735	3526	2557	2330	74	70						
